item,label,cond1,cond2,cond3,sentence,comprehension_question,answerchoice0,answerchoice1,correct_response,group
384,gpath_unamb_384,gpath,unamb,,The nervous wrestler who was hurried through the stands hadn't seen his opponent.,Was the wrestler moved towards the ring?,Y,N,0,list3
384,gpath_amb_384,gpath,amb,,The nervous wrestler hurried through the stands hadn't seen his opponent.,Was the wrestler moved towards the ring?,Y,N,0,list4
386,gpath_amb_386,gpath,amb,,The six volunteers taught the complicated procedure became very good students.,Did the volunteers do poorly in school?,Y,N,1,list3
386,gpath_unamb_386,gpath,unamb,,The six volunteers who were taught the complicated procedure became very good students.,Did the volunteers do poorly in school?,Y,N,1,list4
392,gpath_amb_392,gpath,amb,,The Indian children scrubbed in the stream splashed and shouted loudly.,Were the children noisy?,Y,N,0,list3
392,gpath_unamb_392,gpath,unamb,,The Indian children who were scrubbed in the stream splashed and shouted loudly.,Were the children noisy?,Y,N,0,list4
395,gpath_amb_395,gpath,amb,,The experienced chef assured about the stove burnt his hand anyway.,Was the chef unaware of the stove?,Y,N,1,list3
395,gpath_unamb_395,gpath,unamb,,The experienced chef who was assured about the stove burnt his hand anyway.,Was the chef unaware of the stove?,Y,N,1,list4
398,gpath_unamb_398,gpath,unamb,,The hippie children who were rinsed in the river were later taken berry-picking.,Did the children get to pick berries?,Y,N,0,list3
398,gpath_amb_398,gpath,amb,,The hippie children rinsed in the river were later taken berry-picking.,Did the children get to pick berries?,Y,N,0,list4
400,gpath_amb_400,gpath,amb,,The hyper puppy watched at the kennel played with a ball.,Was the puppy docile?,Y,N,1,list3
400,gpath_unamb_400,gpath,unamb,,The hyper puppy who was watched at the kennel played with a ball.,Was the puppy docile?,Y,N,1,list4
402,gpath_unamb_402,gpath,unamb,,The alert soldiers who were unloaded from the helicopter found their target quickly.,Did the soldiers get out of the helicopter?,Y,N,0,list3
402,gpath_amb_402,gpath,amb,,The alert soldiers unloaded from the helicopter found their target quickly.,Did the soldiers get out of the helicopter?,Y,N,0,list4
405,gpath_amb_405,gpath,amb,,The hospital patient bathed in his room read the newspaper constantly.,Did the patient read all the time?,Y,N,0,list3
405,gpath_unamb_405,gpath,unamb,,The hospital patient who was bathed in his room read the newspaper constantly.,Did the patient read all the time?,Y,N,0,list4
407,gpath_amb_407,gpath,amb,,The silly boys remembered during the play quickly left the auditorium.,Had the boys been forgotten?,Y,N,1,list3
407,gpath_unamb_407,gpath,unamb,,The silly boys who were remembered during the play quickly left the auditorium.,Had the boys been forgotten?,Y,N,1,list4
410,gpath_unamb_410,gpath,unamb,,The teenage girls who were begged in the hallway answered the principal rudely.,Did the girls act polite towards the principal?,Y,N,1,list3
410,gpath_amb_410,gpath,amb,,The teenage girls begged in the hallway answered the principal rudely.,Did the girls act polite towards the principal?,Y,N,1,list4
414,gpath_amb_414,gpath,amb,,The grad students cheated during their exams left to go home.,Did the grad students go home?,Y,N,0,list3
414,gpath_unamb_414,gpath,unamb,,The grad students who were cheated during their exams left to go home.,Did the grad students go home?,Y,N,0,list4
416,gpath_unamb_416,gpath,unamb,,An impatient shopper who was shoved through the doors complained to the manager.,Did the shopper walk calmly through the doors?,Y,N,1,list3
416,gpath_amb_416,gpath,amb,,An impatient shopper shoved through the doors complained to the manager.,Did the shopper walk calmly through the doors?,Y,N,1,list4
